上海台,#genre#
上海都市频道,https://tencent-stream.kksmg.com/live/ylpd.m3u8?txSecret=955f6fb119d173ebfa69ebc3c46d568d&txTime=65a3624a
上海金山电视台,http://livejs1.newsjs.net/jspd/playlist.m3u8
崇明电视台,https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8
云南台,#genre#
丽江新闻综合频道,https://play.live.lijiangtv.com/live/tvzh_720p.m3u8
红河一套新闻频道,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
红河经济生活频道,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
红河县电视台,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel3/playlist.m3u8
广南电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel19/playlist.m3u8
内蒙古台,#genre#
鄂尔多斯二套经济服务频道,http://live.erdszs.org.cn/lsdream/ogvfqcp/1000/live.m3u8
伊金霍洛旗电视台,https://cms-play.yjhlnews.cn/live/vedio.m3u8
鄂托克旗电视台,http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8
赤峰经济服务频道,http://stream.cfrtv.cn/cfjj/sd/live.m3u8?_upt=f8ee88721705132011
北京台,#genre#
石景山电视台,http://live.sjsrm.com/bjsjs/sd/live.m3u8
房山电视台,http://live.funhillrm.com/2/sd/live.m3u8
卫视,#genre#
湖南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001026/index.m3u8
卫视台,#genre#
湖南卫视,http://111.59.63.32:9901/tsfile/live/1028_1.m3u8
四川卫视,http://221.213.43.82:8888/newlive/live/hls/32/live.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
海南卫视,http://221.213.43.82:8888/newlive/live/hls/50/live.m3u8
吉林台,#genre#
吉林都市频道,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/7e8474e6daea44ccaa5aa2300191439e/1.m3u8
东北戏曲频道,http://stream1.jlntv.cn/dbxq/playlist.m3u8
四川台,#genre#
眉山公共频道,http://live2.scmstv.cn/ggpd/sd/live.m3u8
内江综合频道,http://njzb.scnj.tv:90/live/xwzh_xwzh800.m3u8
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
攀枝花新闻综合频道,http://zb.pzhgd.com:9095/live/xwzh.m3u8
国际,#genre#
RT新闻,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT纪录,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8
地方,#genre#
北京新闻,http://iptv.8t.cx:8180/udp/239.3.1.159:8000
央视台,#genre#
CCTV-3 综艺,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-5 体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5+ 体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-7 国防军事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-8 电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-9 纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
安徽台,#genre#
安徽公共频道,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829349154529.m3u8
安徽国际频道,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829422933950.m3u8
芜湖新闻综合频道,https://live3.wuhunews.cn/news/playlist.m3u8?_upt=b6b4994b1705122941
芜湖生活频道,https://live3.wuhunews.cn/channel2/playlist.m3u8?_upt=884b071a1705122943
芜湖公共频道,https://live3.wuhunews.cn/channel3/playlist.m3u8?_upt=c26c41e41705121135
滁州新闻综合频道,http://live.cztv.cc:85/live/xwpd.m3u8
滁州公共频道,http://live.cztv.cc:85/live/ggpd.m3u8
山东台,#genre#
济宁公共频道,http://lives.jnnews.tv/video/s10001-JNTV3/index.m3u8
济宁教育频道,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
新泰电视台综合频道,http://live.xtgdw.cn:1935/live/xtzh/playlist.m3u8
新泰乡村党建频道,http://live.xtgdw.cn:1935/live/xtxc/playlist.m3u8
临沂新闻综合频道,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel111841/playlist.m3u8
临沂农科频道,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel115062/playlist.m3u8
枣庄公共频道,http://stream.zztvzd.com/3/sd/live.m3u8
山西台,#genre#
山西经济与科技频道,https://livehhhttps.sxrtv.com/lsdream/4j01KWX/800/r7140r0.m3u8
山西影视频道,https://livehhhttps.sxrtv.com/lsdream/Md571Kv/800/a7iM050.m3u8
山西社会与法治频道,https://livehhhttps.sxrtv.com/lsdream/p4y5do9/500/f2dp0y0.m3u8
山西文体生活频道,https://livehhhttps.sxrtv.com/lsdream/Y00Xezi/800/j49Y0r0.m3u8
黄河电视台,https://livehhhttps.sxrtv.com/lsdream/lce1mC4/800/z2tl0e0.m3u8
太原四套影视频道,http://tytv-hls.cutv.com/J4EX72D/500/y7uJ0E0.m3u8?sign=0eb6ed2f0ecfd9b0bbc74302962c99c5&t=d26bbeaa
太原一套新闻综合频道,http://tytv-hls.cutv.com/49VAfrw/500/46o40V0.m3u8?sign=8b2ac601599b9a1389695171184299f0&t=d26bbeb7
太原二套百姓频道,http://tytv-hls.cutv.com/u8BmT6h/500/14ru0B0.m3u8?sign=d4d624cf9f57c26b41decd0bc02077b6&t=d26bbec1
太原三套法制频道,http://tytv-hls.cutv.com/phsry3e/500/j9p0s0y.m3u8?sign=2a6fcd7c90b01039040ac4fd76aa1da2&t=d26bbad7
太原五套文体频道,http://tytv-hls.cutv.com/rk8Z088/500/j49r080.m3u8?sign=071eda44aaa5db413923508576ec42ca&t=d26ba594
大同1套新闻综合频道,https://live.dtradio.com.cn/xwzh/playlist.m3u8?_upt=2ed453fa1705129783
大同2套公共频道,https://live.dtradio.com.cn/ggpd/playlist.m3u8?_upt=fd42e1331705130766
大同3套煤都生活频道,https://live.dtradio.com.cn/mdsh/playlist.m3u8?_upt=11feea781705125312
运城三套科教频道,http://live.0359tv.com/lsdream/p5eq48m/live.m3u8
广东台,#genre#
深圳电视台都市频道,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
清远综合频道,https://huodong.zuiqingyuan.com/dianshi/newxinwenpingdao.m3u8?token=B86ouFGGfrmwNY9CDr8t
汕头一套综合频道,https://sttv-tsl.cutv.com/lKGXIQa/04sl0G0.m3u8
江门综合频道,http://tidelive.jmtv.cn/lsdream/4x3T0dO/993/p634000.m3u8
广西台,#genre#
宾阳电视台,https://live.gxrb.com.cn/gx/binyang/index.m3u8
融水电视台,https://live.gxrb.com.cn/gx/rongshui/index.m3u8
数字,#genre#
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
新疆台,#genre#
哈密电视台2套,http://stream.hmgbtv.com/hm2/hd/live.m3u8
江苏台,#genre#
常州新闻综合频道,https://livekcz.cztv.tv/kcz/cztv1.m3u8?auth_key=1705123609-0-0-a58c5c314db7246f8a1d39c5f6c7c360
常州生活频道,https://livekcz.cztv.tv/kcz/cztv3.m3u8?auth_key=1705120442-0-0-48623b563d75f67fa016f993019f367f
连云港新闻综合频道,http://live.lyg1.com/zhpd/sd/live.m3u8
贾汪新闻综合频道,http://jiawang-tv-hls.cm.jstv.com/jiawang-tv/jwxw.m3u8
贾汪旅游频道,http://jiawang-tv-hls.cm.jstv.com/jiawang-tv/jwly.m3u8
南通电视台一套,http://nttv-wshls.homecdn.com/live/7cc9.m3u8?t=1705116528&k=b8992a08eebe64f9ddc82c211885af87
泰州三套影视娱乐频道,http://stream1.mytaizhou.net/ysyl/playlist.m3u8?_upt=dca1bcff1705184406
姜堰新闻综合频道,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8
扬州新闻频道,http://cm-wshls.homecdn.com/live/8bb.m3u8
镇江二套社会民生频道,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
河北台,#genre#
